Feature
1,ENSMUSG00000045680
2,ENSMUSG00000038044
3,ENSMUSG00000100916
4,ENSMUSG00000054951
5,ENSMUSG00000044787
6,ENSMUSG00000099564
7,ENSMUSG00000037801
8,ENSMUSG00000029322
9,ENSMUSG00000025500
10,ENSMUSG00000110427
11,ENSMUSG00000110752
12,ENSMUSG00000032454
13,ENSMUSG00000040489
14,ENSMUSG00000086644
15,ENSMUSG00000031886
16,ENSMUSG00000089789
17,ENSMUSG00000078776
18,ENSMUSG00000103037
19,ENSMUSG00000097275
20,ENSMUSG00000041624
21,ENSMUSG00000074867
22,ENSMUSG00000054493
23,ENSMUSG00000034071
24,ENSMUSG00000042895
25,ENSMUSG00000097372
26,ENSMUSG00000070708
27,ENSMUSG00000097077
28,ENSMUSG00000027322
29,ENSMUSG00000074398
30,ENSMUSG00000117079
31,ENSMUSG00000090840
32,ENSMUSG00000112630
33,ENSMUSG00000086515
34,ENSMUSG00000029477
35,ENSMUSG00000114148
36,ENSMUSG00000114854
37,ENSMUSG00000114552
38,ENSMUSG00000087541
39,ENSMUSG00000031147
40,ENSMUSG00000114442
41,ENSMUSG00000079644
42,ENSMUSG00000118317
43,ENSMUSG00000110353
44,ENSMUSG00000045231
45,ENSMUSG00000085016
46,ENSMUSG00000097203
47,ENSMUSG00000028642
48,ENSMUSG00000064308
49,ENSMUSG00000072423
50,ENSMUSG00000112398
51,ENSMUSG00000114004
52,ENSMUSG00000113591
53,ENSMUSG00000089730
54,ENSMUSG00000082766
55,ENSMUSG00000054150
56,ENSMUSG00000087289
57,ENSMUSG00000034739
58,ENSMUSG00000063412
59,ENSMUSG00000105274
60,ENSMUSG00000021898
61,ENSMUSG00000089663
62,ENSMUSG00000086254
63,ENSMUSG00000101655
64,ENSMUSG00000023949
65,ENSMUSG00000031138
66,ENSMUSG00000044017
67,ENSMUSG00000073158
68,ENSMUSG00000074121
69,ENSMUSG00000042678
70,ENSMUSG00000087064
71,ENSMUSG00000075256
72,ENSMUSG00000027306
73,ENSMUSG00000067929
74,ENSMUSG00000085788
75,ENSMUSG00000091968
76,ENSMUSG00000073739
77,ENSMUSG00000017499
78,ENSMUSG00000024402
79,ENSMUSG00000040424
80,ENSMUSG00000085975
81,ENSMUSG00000035020
82,ENSMUSG00000112404
83,ENSMUSG00000087611
84,ENSMUSG00000085527
85,ENSMUSG00000075427
86,ENSMUSG00000109282
87,ENSMUSG00000104000
88,ENSMUSG00000051054
89,ENSMUSG00000114469
90,ENSMUSG00000050304
91,ENSMUSG00000115378
92,ENSMUSG00000114968
93,ENSMUSG00000055172
94,ENSMUSG00000074577
95,ENSMUSG00000086016
96,ENSMUSG00000114456
97,ENSMUSG00000019278
98,ENSMUSG00000037279
99,ENSMUSG00000023122
100,ENSMUSG00000046826
101,ENSMUSG00000042215
102,ENSMUSG00000032028
103,ENSMUSG00000037185
104,ENSMUSG00000005124
105,ENSMUSG00000040086
106,ENSMUSG00000086283
107,ENSMUSG00000009070
108,ENSMUSG00000023940
109,ENSMUSG00000100211
110,ENSMUSG00000114206
111,ENSMUSG00000026065
112,ENSMUSG00000112466
113,ENSMUSG00000037465
114,ENSMUSG00000033114
115,ENSMUSG00000060924
116,ENSMUSG00000087083
117,ENSMUSG00000105698
118,ENSMUSG00000036091
119,ENSMUSG00000046856
120,ENSMUSG00000054885
121,ENSMUSG00000024660
122,ENSMUSG00000047443
123,ENSMUSG00000114697
124,ENSMUSG00000114200
125,ENSMUSG00000103088
